,date,locality,state,location,location_detail,county_x,claims,valence,issues,size_low,size_high,size_mean,size_cat,lat,lon,resolved_locality,resolved_county,resolved_state,fips_code,month_year,county_y,population,size_mean_over_pop
328,2020-05-30,Visalia,CA,"Visalia, CA",,,"against anti-racism protesters, for President Trump",2.0,executive; racism,1.0,1.0,1.0,1,36.330228,-119.292059,Visalia,Tulare,CA,6107.0,2020-05-01,Tulare,473117.0,2.113642080077444e-06
351,2020-05-30,Gainesville,FL,"Gainesville, FL",Main St,Alachua,against anti-racism protesters,2.0,racism,2.0,2.0,2.0,1,29.651634,-82.324826,Gainesville,Alachua,FL,12001.0,2020-05-01,Alachua,278468.0,7.182153784276829e-06
615,2020-05-30,Salt Lake City,UT,"Salt Lake City, UT",200 East and 400 South,Salt Lake,against anti-racism protesters,2.0,racism,1.0,1.0,1.0,1,40.760779,-111.891047,Salt Lake City,Salt Lake,UT,49035.0,2020-05-01,Salt Lake,1185238.0,8.437124020660829e-07
838,2020-05-31,Shreveport,LA,"Shreveport, LA",Courthouse,Caddo,"against anti-racism protesters, for Confederate flag",2.0,racism,3.0,3.0,3.0,1,32.525152,-93.750179,Shreveport,Caddo Parish,LA,22017.0,2020-05-01,"Caddo Parish, Louisiana",237848.0,1.2613097440382092e-05
891,2020-05-31,Hattiesburg,MS,"Hattiesburg, MS",entrance to the University of Southern Mississippi,Forrest,for state flag with Confederate emblem,2.0,racism,30.0,30.0,30.0,1,31.327119,-89.290339,Hattiesburg,Forrest,MS,28035.0,2020-05-01,Forrest,78158.0,0.0003838378668850278
1010,2020-05-31,Prineville,OR,"Prineville, OR",Prineville City Hall Plaza,Crook,against anti-racism protesters,2.0,racism,100.0,100.0,100.0,2,44.299849,-120.834466,Prineville,Crook,OR,41013.0,2020-05-01,Crook,24738.0,0.0040423639744522595
1078,2020-05-31,Lynchburg,VA,"Lynchburg, VA",Fifth and Federal Station,Campbell,against anti-racism protesters,2.0,racism,40.0,40.0,40.0,1,37.413754,-79.142246,Lynchburg,,VA,51680.0,2020-05-01,"Lynchburg city, Virginia",79009.0,0.0005062714374311787
1084,2020-05-31,Virginia Beach,VA,"Virginia Beach, VA",between 2nd & 3rd street on Atlantic Ave at the Oceanfront,Lower Norfolk,against anti-racism protesters,2.0,racism,1.0,1.0,1.0,1,36.852926,-75.977985,Virginia Beach,,VA,51810.0,2020-05-01,"Virginia Beach city, Virginia",459470.0,2.1764206585848913e-06
1165,2020-06-01,Ramona,CA,"Ramona, CA",10th St and Main St,San Diego,"against anti-racism protesters, for President Trump",2.0,executive; racism,75.0,75.0,75.0,1,33.04136,-116.879255,Ramona,San Diego,CA,6073.0,2020-06-01,San Diego,3298634.0,2.2736684336607215e-05
1244,2020-06-01,Crown Point,IN,"Crown Point, IN",,Lake,against Black Lives Matter,2.0,policing; racism,21.0,21.0,21.0,1,41.416981,-87.365313,Crown Point,Lake,IN,18089.0,2020-06-01,Lake,498700.0,4.21094846601163e-05
1269,2020-06-01,Gaithersburg,MD,"Gaithersburg, MD",Rio,Montgomery,All Lives Matter,2.0,racism,1.0,1.0,1.0,1,39.143969,-77.201606,Gaithersburg,Montgomery,MD,24031.0,2020-06-01,Montgomery,1062061.0,9.415655032997163e-07
1337,2020-06-01,New York,NY,"New York, NY","Cross Island Parkway & Clintonville St, Whitestone, Queens",Queens,"against anti-racism protesters, for racism",2.0,racism,1.0,1.0,1.0,1,40.712775,-74.005973,New York,,NY,36081.0,2020-06-01,Queens,2405464.0,4.157202103211688e-07
1381,2020-06-01,Philadelphia,PA,"Philadelphia, PA",Fishtown,,against anti-racism protesters,2.0,racism,50.0,70.0,60.0,1,39.952584,-75.165222,Philadelphia,Philadelphia,PA,42101.0,2020-06-01,Philadelphia,1603797.0,3.7411218502092225e-05
1505,2020-06-02,Santee,CA,"Santee, CA",Mission Gorge Rd and Cuyamaca St,San Diego,against anti-racism protesters,2.0,racism,2.0,2.0,2.0,1,32.838383,-116.973917,Santee,San Diego,CA,6073.0,2020-06-01,San Diego,3298634.0,6.063115823095257e-07
1656,2020-06-02,Dickinson,ND,"Dickinson, ND",Third Ave,Stark,"against antifa, for protection of property, against Black Lives Matter protesters",2.0,policing; racism,200.0,200.0,200.0,2,46.879176,-102.789624,Dickinson,Stark,ND,38089.0,2020-06-01,Stark,33646.0,0.005944243000653867
1688,2020-06-02,New York,NY,"New York, NY","Cross Island Parkway & Clintonville St, Whitestone, Queens",Queens,against anti-racism protesters,2.0,racism,1.0,1.0,1.0,1,40.712775,-74.005973,New York,,NY,36081.0,2020-06-01,Queens,2405464.0,4.157202103211688e-07
1713,2020-06-02,Newark,OH,"Newark, OH",Licking County Courthouse,Licking,All Lives Matter,2.0,racism,24.0,24.0,24.0,1,40.058121,-82.401264,Newark,Licking,OH,39089.0,2020-06-01,Licking,178519.0,0.0001344394714288115
1753,2020-06-02,Rapid City,SD,"Rapid City, SD",,Pennington,against anti-racism protestors; pro-Trump,2.0,executive; racism,24.0,24.0,24.0,1,44.080543,-103.231015,Rapid City,Pennington,SD,46103.0,2020-06-01,Pennington,109222.0,0.00021973595063265642
1808,2020-06-02,Casper,WY,"Casper, WY",David St,Natrona,against anti-racism protesters,2.0,racism,3.0,3.0,3.0,1,42.850077,-106.325175,Casper,Natrona,WY,56025.0,2020-06-01,Natrona,79955.0,3.752110562191233e-05
1843,2020-06-03,Newport Beach,CA,"Newport Beach, CA",30th St and Newport Blvd,Orange,against anti-racism protesters,2.0,racism,1.0,1.0,1.0,1,33.618883,-117.929849,Newport Beach,Orange,CA,6059.0,2020-06-01,Orange,3186989.0,3.137757927623848e-07
1845,2020-06-03,Oakdale,CA,"Oakdale, CA",Wood Park,Stanislaus,"against Black Lives Matter protesters, for President Trump, All Lives Matter",2.0,executive; policing; racism,20.0,30.0,25.0,1,37.766626,-120.847031,Oakdale,Stanislaus,CA,6099.0,2020-06-01,Stanislaus,552878.0,4.521793234673834e-05
1974,2020-06-03,Whitefish,MT,"Whitefish, MT",Whitefish City Hall,Flathead,"against Black Lives Matter protesters, all lives matter",2.0,policing; racism,1.0,1.0,1.0,1,48.410637,-114.335265,Whitefish,Flathead,MT,30029.0,2020-06-01,Flathead,104357.0,9.582490872677443e-06
2064,2020-06-03,Chattanooga,TN,"Chattanooga, TN",,Hamilton,against anti-racism protest,2.0,racism,1.0,1.0,1.0,1,35.04563,-85.30968,Chattanooga,Hamilton,TN,47065.0,2020-06-01,Hamilton,366207.0,2.7306960271103502e-06
2144,2020-06-04,Julian,CA,"Julian, CA",Main St,San Diego,against anti-racism protesters,2.0,racism,2.0,2.0,2.0,1,33.078655,-116.601964,Julian,San Diego,CA,6073.0,2020-06-01,San Diego,3298634.0,6.063115823095257e-07
2180,2020-06-04,Coeur d'Alene,ID,"Coeur d'Alene, ID","WinCo Foods, 1485 W Appleway Ave",Kootenai,"against Black Lives Matter protesters, for protection of property",2.0,policing; racism,20.0,30.0,25.0,1,47.673463,-116.781223,Coeur d'Alene,Kootenai,ID,16055.0,2020-06-01,Kootenai,171362.0,0.0001458899872783931
2228,2020-06-04,Ann Arbor,MI,"Ann Arbor, MI",West Park to downtown,Washtenaw,"against Black Lives Matter protesters, for President Trump",2.0,executive; policing; racism,1.0,1.0,1.0,1,42.280826,-83.743038,Ann Arbor,Washtenaw,MI,26161.0,2020-06-01,Washtenaw,372258.0,2.6863089577658506e-06
2237,2020-06-04,Howell,MI,"Howell, MI",Livingston County Veterans Memorial,,"against anti-racism protesters, for gun rights",2.0,guns; racism,50.0,50.0,50.0,1,42.607255,-83.929395,Howell,Livingston,MI,26093.0,2020-06-01,Livingston,193866.0,0.000257910102854549
2341,2020-06-04,Flower Mound,TX,"Flower Mound, TX",Long Prairie Rd,,against Black Lives Matter protesters,2.0,policing; racism,40.0,40.0,40.0,1,33.014567,-97.096955,Flower Mound,Denton,TX,48121.0,2020-06-01,Denton,906422.0,4.412955554918129e-05
2368,2020-06-04,Pinedale,WY,"Pinedale, WY",north side of Pine St,Sublette,opposing BLM; All Lives Matter,2.0,policing; racism,10.0,10.0,10.0,1,42.867881,-109.86335,Pinedale,Sublette,WY,56035.0,2020-06-01,Sublette,8728.0,0.001145737855178735
2530,2020-06-05,Bad Axe,MI,"Bad Axe, MI",county building,Huron,opposing BLM; All Lives Matter,2.0,policing; racism,3.0,3.0,3.0,1,43.801959,-83.000777,Bad Axe,Huron,MI,26063.0,2020-06-01,Huron,31407.0,9.552010698251981e-05
2553,2020-06-05,Hernando,MS,"Hernando, MS",downtown,DeSoto,opposing BLM; All Lives Matter,2.0,policing; racism,2.0,2.0,2.0,1,34.823987,-89.993702,Hernando,DeSoto,MS,28033.0,2020-06-01,DeSoto,185314.0,1.0792492742048631e-05
2650,2020-06-05,McAllen,TX,"McAllen, TX",City Hall,Hidalgo,against Black Lives Matter protesters,2.0,policing; racism,1.0,1.0,1.0,1,26.203407,-98.230012,McAllen,Hidalgo,TX,48215.0,2020-06-01,Hidalgo,870781.0,1.1483943724082174e-06
2656,2020-06-05,Saint George,UT,"Saint George, UT",St George Blvd and 200 East,Washington,"All Lives Matter, for President Trump, Blue Lives Matter, for patriotism",2.0,executive; policing; racism,40.0,40.0,40.0,1,37.096528,-113.568416,St. George,Washington,UT,49053.0,2020-06-01,Washington,180279.0,0.00022187831084041957
2860,2020-06-06,Pekin,IL,"Pekin, IL",Tazewell County Courthouse,Tazewell,"against Black Lives Matter protesters, for President Trump",2.0,executive; policing; racism,4.0,4.0,4.0,1,40.567539,-89.640658,Pekin,Tazewell,IL,17179.0,2020-06-01,Tazewell,131343.0,3.0454611208819654e-05
2892,2020-06-06,Bourne,MA,"Bourne, MA",Bourne Rotary,Barnstable,pro-law enforcement,2.0,policing,5.0,10.0,8.0,1,41.741277,-70.598933,Bourne,Barnstable,MA,25001.0,2020-06-01,Barnstable,228996.0,3.4935108036821605e-05
2963,2020-06-06,Kalispell,MT,"Kalispell, MT",Depot Park,Flathead,"against Black Lives Matter protesters, all lives matter",2.0,policing; racism,100.0,100.0,100.0,2,48.191989,-114.316813,Kalispell,Flathead,MT,30029.0,2020-06-01,Flathead,104357.0,0.0009582490872677443
2973,2020-06-06,Raleigh,NC,"Raleigh, NC",,Wake,against Black Lives Matter protesters,2.0,policing; racism,1.0,1.0,1.0,1,35.77959,-78.638179,Raleigh,Wake,NC,37183.0,2020-06-01,Wake,1129410.0,8.8541805013237e-07
2981,2020-06-06,Concord,NH,"Concord, NH",NH State House,Merrimack,against Black Lives Matter protesters,2.0,policing; racism,8.0,8.0,8.0,1,43.208137,-71.537572,Concord,Merrimack,NH,33013.0,2020-06-01,Merrimack,153808.0,5.2012899199001353e-05
3006,2020-06-06,Carson City,NV,"Carson City, NV",downtown; Nevada Legislature Building,Carson City,in support of law enforcement,2.0,policing,100.0,100.0,100.0,2,39.163798,-119.767403,Carson City,,NV,32510.0,2020-06-01,"Carson City, Nevada",58639.0,0.0017053496819522842
3133,2020-06-06,Georgetown,TX,"Georgetown, TX",County Courthouse,Williamson,against Black Lives Matter protesters,2.0,policing; racism,20.0,20.0,20.0,1,30.633262,-97.677984,Georgetown,Williamson,TX,48491.0,2020-06-01,Williamson,609017.0,3.2839805785388584e-05
3144,2020-06-06,University Park,TX,"University Park, TX",Burleson Park,,"All Lives Matter, Black babies' lives matter, against abortion",2.0,racism; reproductive rights,1.0,1.0,1.0,1,32.855038,-96.797592,University Park,Dallas,TX,48113.0,2020-06-01,Dallas,2613539.0,3.8262294918882024e-07
3196,2020-06-06,Shorewood,WI,"Shorewood, WI",4000 N Oakland Ave,,against Black Lives Matter protesters,2.0,policing; racism,1.0,1.0,1.0,1,43.089179,-87.887585,Shorewood,Milwaukee,WI,55079.0,2020-06-01,Milwaukee,939489.0,1.0644084177675311e-06
3201,2020-06-07,Gadsden,AL,"Gadsden, AL",Emma Sansom Monument,Etowah,against Black Lives Matter protesters,2.0,policing; racism,12.0,20.0,16.0,1,34.014264,-86.006639,Gadsden,Etowah,AL,1055.0,2020-06-01,Etowah,103436.0,0.00015468502262268457
3252,2020-06-07,Cheshire,CT,"Cheshire, CT",in front of the South Main Street municipal building,New Haven,"against Black Lives Matter protests, against looting and rioting",2.0,policing; racism,1.0,1.0,1.0,1,41.508367,-72.91062,Cheshire,New Haven,CT,9009.0,2020-06-01,New Haven,864835.0,1.156289928136581e-06
3294,2020-06-07,Bedford,IN,"Bedford, IN",,,against Black Lives Matter protesters,2.0,policing; racism,3.0,3.0,3.0,1,38.861162,-86.487215,Bedford,Lawrence,IN,18093.0,2020-06-01,Lawrence,45011.0,6.665037435293595e-05
3363,2020-06-07,Perryville,MO,"Perryville, MO",North Jackson St,Perry,against Black Lives Matter protesters,2.0,policing; racism,12.0,36.0,24.0,1,37.72422,-89.86122,Perryville,Perry,MO,29157.0,2020-06-01,Perry,18956.0,0.0012660898923823592
3371,2020-06-07,Billings,MT,"Billings, MT",City Courthouse,Yellowstone,"against Black Lives Matter protesters, for protecting property",2.0,policing; racism,24.0,24.0,24.0,1,45.783286,-108.50069,Billings,Yellowstone,MT,30111.0,2020-06-01,Yellowstone,164731.0,0.00014569206767396544
3390,2020-06-07,Laconia,NH,"Laconia, NH",653 Main St,,"against Black Lives Matter protesters, for protection of property, against antifa, All Lives Matter",2.0,policing; racism,12.0,12.0,12.0,1,43.527855,-71.470351,Laconia,Belknap,NH,33001.0,2020-06-01,Belknap,63705.0,0.00018836825994819872
3407,2020-06-07,Reno,NV,"Reno, NV",Plaza near Mill and Second Streets,Washoe,against Black Lives Matter protesters,2.0,policing; racism,24.0,24.0,24.0,1,39.529633,-119.813803,Reno,Washoe,NV,32031.0,2020-06-01,Washoe,486492.0,4.933277422855874e-05
3437,2020-06-07,Troy,NY,"Troy, NY",Troy Police Department Headquarters,Rensselear,"against Black Lives Matter protesters, in support of police",2.0,policing; racism,8.0,8.0,8.0,1,42.728412,-73.691785,Troy,Rensselaer,NY,36083.0,2020-06-01,Rensselaer,161130.0,4.9649351455346615e-05
3448,2020-06-07,Coos Bay,OR,"Coos Bay, OR",Downtown,Coos,against Black Lives Matter protesters,2.0,policing; racism,1.0,1.0,1.0,1,43.366501,-124.21789,Coos Bay,Coos,OR,41011.0,2020-06-01,Coos,64929.0,1.5401438494355372e-05
3464,2020-06-07,Indiana,PA,"Indiana, PA",800 Philadelphia St,,"Blue Lives Matter, police save lives",2.0,policing,10.0,15.0,12.0,1,40.621455,-79.152535,Indiana,Indiana,PA,42063.0,2020-06-01,Indiana,83246.0,0.00014415107032169714
3520,2020-06-07,Richmond,VA,"Richmond, VA",Lakeside Avenue near Vale Street,Richmond,"against Black Lives Matter protesters, for white supremacy",2.0,policing; racism,1.0,1.0,1.0,1,37.540725,-77.436048,Richmond,,VA,51760.0,2020-06-01,"Richmond city, Virginia",226610.0,4.412867922863069e-06
3550,2020-06-07,Charleston,WV,"Charleston, WV",West Virginia State Capitol,,against removal of Confederate statue,2.0,racism,1.0,1.0,1.0,1,38.34982,-81.632623,Charleston,Kanawha,WV,54039.0,2020-06-01,Kanawha,180745.0,5.532656505020886e-06
3577,2020-06-08,Kremmling,CO,"Kremmling, CO",corner of Highway 9 and 40,Grand,"against Black Lives Matter protesters, for President Trump, for patriotism",2.0,executive; policing; racism,7.0,7.0,7.0,1,40.058874,-106.38892,Kremmling,Grand,CO,8049.0,2020-06-01,Grand,15717.0,0.0004453776165934975
3635,2020-06-08,Petoskey,MI,"Petoskey, MI",US-31 and Mitchell St,,"against Black Lives Matter protesters, in support of police, for President Trump, for patriotism, for freedom",2.0,civil rights; executive; policing; racism,30.0,30.0,30.0,1,45.373343,-84.95533,Petoskey,Emmet,MI,26047.0,2020-06-01,Emmet,34112.0,0.0008794559099437148
3653,2020-06-08,Franklinville,NJ,"Franklinville, NJ",,Gloucester,"against Black Lives Matter protesters, for President Trump, All Lives Matter",2.0,executive; policing; racism,4.0,4.0,4.0,1,39.617797,-75.080747,Franklin,Gloucester,NJ,34015.0,2020-06-01,Gloucester,302294.0,1.3232151481670162e-05
3654,2020-06-08,Hazlet,NJ,"Hazlet, NJ",,,against Black Lives Matter protesters,2.0,policing; racism,3.0,3.0,3.0,1,40.428953,-74.165099,Hazlet,Monmouth,NJ,34025.0,2020-06-01,Monmouth,643615.0,4.661171663183736e-06
3660,2020-06-08,Elko,NV,"Elko, NV",intersection of Idaho St and 6th St; outside County Courthouse,Elko,against Black Lives Matter protesters,2.0,policing; racism,1.0,1.0,1.0,1,40.832421,-115.763123,Elko,Elko,NV,32007.0,2020-06-01,Elko,53702.0,1.862128039924025e-05
3722,2020-06-08,Seattle,WA,"Seattle, WA",11th and Pine,King,against Black Lives Matter protesters,2.0,policing; racism,1.0,1.0,1.0,1,47.606209,-122.332071,Seattle,King,WA,53033.0,2020-06-01,King,2269675.0,4.405917146728056e-07
3726,2020-06-08,Shorewood,WI,"Shorewood, WI",,,against Black Lives Matter protesters,2.0,policing; racism,1.0,1.0,1.0,1,43.089179,-87.887585,Shorewood,Milwaukee,WI,55079.0,2020-06-01,Milwaukee,939489.0,1.0644084177675311e-06
3797,2020-06-09,Florence,OR,"Florence, OR",Highway 100 & 126,Florence,"in support of police, for patriotism, All Lives Matter",2.0,policing; racism,50.0,50.0,50.0,1,43.982621,-124.099841,Florence,Lane,OR,41039.0,2020-06-01,Lane,382971.0,0.0001305581884790232
3833,2020-06-10,Whitefish,MT,"Whitefish, MT",,,against Black Lives Matter protesters,2.0,policing; racism,1.0,1.0,1.0,1,48.410637,-114.335265,Whitefish,Flathead,MT,30029.0,2020-06-01,Flathead,104357.0,9.582490872677443e-06
3887,2020-06-11,Pratt,KS,"Pratt, KS",Pratt Police Department,Pratt,in support of law enforcement,2.0,policing,25.0,25.0,25.0,1,37.643907,-98.737591,Pratt,Pratt,KS,20151.0,2020-06-01,Pratt,9157.0,0.002730151796439882
3939,2020-06-12,Temecula,CA,"Temecula, CA",Ynez Rd and Winchester Rd,Riverside,"Blue Lives Matter, for President Trump, for patriotism, for freedom, against defunding police, for Sheriff Bianco",2.0,civil rights; executive; policing,100.0,100.0,100.0,2,33.493639,-117.148365,Temecula,Riverside,CA,6065.0,2020-06-01,Riverside,2418185.0,4.135332904637155e-05
3957,2020-06-12,Des Moines,IA,"Des Moines, IA",South Union St and E Army Post Rd,Polk,White Lives Matter,2.0,racism,1.0,1.0,1.0,1,41.586835,-93.624959,Des Moines,Polk,IA,19153.0,2020-06-01,Polk,492401.0,2.0308650876013654e-06
3987,2020-06-12,Pinckney,MI,"Pinckney, MI",Main Street,Livingston,"against Black Lives Matter protesters, for racism, go back to Africa",2.0,foreign affairs; policing; racism,1.0,1.0,1.0,1,42.456701,-83.946336,Pinckney,Livingston,MI,26093.0,2020-06-01,Livingston,193866.0,5.15820205709098e-06
4042,2020-06-12,Floyd,VA,"Floyd, VA",Floyd County Courthouse,Floyd,against removal of Confederate monuments,2.0,racism,24.0,24.0,24.0,1,36.911244,-80.32005,Floyd,Floyd,VA,51063.0,2020-06-01,Floyd,15476.0,0.0015507883173946756
4116,2020-06-13,Washington,DC,"Washington, DC",National Mall to National Law Enforcement Officers Memorial,,in support of police,2.0,policing,24.0,24.0,24.0,1,38.907192,-77.036871,Washington,District of Columbia,DC,11001.0,2020-06-01,"District of Columbia, District of Columbia",689545.0,3.480556018824007e-05
4133,2020-06-13,Naples,FL,"Naples, FL","Oakes Farms Market, 2205 Davis Blvd",Collier,"against Black Lives Matter protesters, for President Trump, for patriotism, for freedom, All Lives Matter, in support of police, free speech does not exist if the leftists can run you out of business, God bless America",2.0,civil rights; economy; executive; policing; racism; religion,100.0,100.0,100.0,2,26.142036,-81.79481,Naples,Collier,FL,12021.0,2020-06-01,Collier,375752.0,0.00026613298132811
4219,2020-06-13,Elko,NV,"Elko, NV",courthouse,Elko,Blue Lives Matter,2.0,policing,12.0,12.0,12.0,1,40.832421,-115.763123,Elko,Elko,NV,32007.0,2020-06-01,Elko,53702.0,0.00022345536479088303
4266,2020-06-13,Philadelphia,PA,"Philadelphia, PA","Marconi Plaza, South Philadelphia",Philadelphia,"against Black Lives Matter protests, against antifa, for President Trump, in defense of Christopher Columbus statue",2.0,executive; policing; racism,50.0,50.0,50.0,1,39.952584,-75.165222,Philadelphia,Philadelphia,PA,42101.0,2020-06-01,Philadelphia,1603797.0,3.117601541841019e-05
4271,2020-06-13,Scranton,PA,"Scranton, PA","Christopher Columbus statue, North Washington Ave and Spruce St",Lackawanna,"in defense of Christopher Columbus statue, against Black Lives Matter protesters, for President Trump",2.0,executive; policing; racism,3.0,3.0,3.0,1,41.408969,-75.662412,Scranton,Lackawanna,PA,42069.0,2020-06-01,Lackawanna,215896.0,1.3895579353021825e-05
4283,2020-06-13,Walhalla,SC,"Walhalla, SC",Confederate statue,Oconee,in defense of Confederate monument and Confederate flag,2.0,racism,5.0,5.0,5.0,1,34.764818,-83.064042,Walhalla,Oconee,SC,45073.0,2020-06-01,Oconee,78607.0,6.360756675614132e-05
4298,2020-06-13,Kerrville,TX,"Kerrville, TX",Kerr County Courthouse,Kerr,"in support of local businesses during COVID-19 pandemic, for unity, in support of police, unity is unhyphenated citizenship, stronger together",2.0,covid; economy; policing,20.0,36.0,28.0,1,30.047433,-99.140319,Kerrville,Kerr,TX,48265.0,2020-06-01,Kerr,52598.0,0.0005323396326856535
4318,2020-06-13,Port Angeles,WA,"Port Angeles, WA",Clallam County Courthouse,,"for racism, for homophobia",2.0,racism,1.0,1.0,1.0,1,48.118146,-123.430741,Port Angeles,Clallam,WA,53009.0,2020-06-01,Clallam,77155.0,1.2960922817704621e-05
4341,2020-06-14,Colorado Springs,CO,"Colorado Springs, CO",Palmer statue,El Paso,"for patriotism, in defense of local monuments associated with colonization and racism",2.0,native peoples' rights; racism,50.0,50.0,50.0,1,38.833882,-104.821363,Colorado Springs,El Paso,CO,8041.0,2020-06-01,El Paso,730395.0,6.845610936548032e-05
4372,2020-06-14,Ionia,MI,"Ionia, MI",Ionia County Sheriff's Office,Ionia,"in support of law enforcement, for patriotism, for Christian values, against Black Lives Matter, against homosexuality",2.0,policing; racism; religion,12.0,12.0,12.0,1,42.987255,-85.071117,Ionia,Ionia,MI,26067.0,2020-06-01,Ionia,66804.0,0.00017962996227770793
4413,2020-06-14,Bethel,OH,"Bethel, OH",Plane St,Clermont,"against Black Lives Matter protesters, in support of police, for President Trump",2.0,executive; policing; racism,700.0,700.0,700.0,2,38.963677,-84.080766,Bethel,Clermont,OH,39025.0,2020-06-01,Clermont,208601.0,0.0033556886112722376
4419,2020-06-14,Norman,OK,"Norman, OK",Andrews Park,Cleveland,"in support of Norman Police Department, against defunding police",2.0,policing,250.0,250.0,250.0,2,35.222567,-97.439478,Norman,Cleveland,OK,40027.0,2020-06-01,Cleveland,295528.0,0.0008459435315773801
4424,2020-06-14,Prineville,OR,"Prineville, OR",Prineville City Hall,Crook,"against Black Lives Matter protesters, go back to Portland, All Lives Matter",2.0,policing; racism,24.0,24.0,24.0,1,44.299849,-120.834466,Prineville,Crook,OR,41013.0,2020-06-01,Crook,24738.0,0.0009701673538685423
4437,2020-06-14,Somerset,PA,"Somerset, PA",Somerset County Courthouse,Somerset,"against Black Lives Matter protesters, All Lives Matter, for President Trump, Jesus died for all lives, we back and honor our police force",2.0,executive; policing; racism; religion,12.0,12.0,12.0,1,40.008411,-79.078083,Somerset,Somerset,PA,42111.0,2020-06-01,Somerset,74129.0,0.00016187996600520714
4483,2020-06-15,Pahrump,NV,"Pahrump, NV",NV-160 and NV-372,Nye,"in support of law enforcement, for patriotism, for freedom, Thin Blue Line",2.0,civil rights; policing,60.0,80.0,70.0,1,36.208294,-115.983915,Pahrump,Nye,NV,32023.0,2020-06-01,Nye,51591.0,0.001356825802950127
4484,2020-06-15,Bethel,OH,"Bethel, OH",Plane St,Clermont,against Black Lives Matter protesters,2.0,policing; racism,100.0,150.0,125.0,2,38.963677,-84.080766,Bethel,Clermont,OH,39025.0,2020-06-01,Clermont,208601.0,0.0005992301091557567
