,date,locality,state,location,location_detail,county_x,claims,valence,issues,size_low,size_high,size_mean,size_cat,lat,lon,resolved_locality,resolved_county,resolved_state,fips_code,month_year,county_y,population,size_mean_over_pop
16,2020-02-08,Washington,DC,"Washington, DC",Arlington National Cemetery to U.S. Capitol,DC,"for white supremacy, against Jews, against communism",2.0,democracy; racism,150.0,150.0,150.0,2,38.907192,-77.036871,Washington,District of Columbia,DC,11001.0,2020-02-01,"District of Columbia, District of Columbia",689545.0,0.00021753475117650045
24,2020-02-21,Portland,OR,"Portland, OR",Lownsdale Square,Multnomah,"against city commissioner, against Black Lives Matter",2.0,policing; racism,24.0,24.0,24.0,1,45.505106,-122.675026,Portland,Multnomah,OR,41051.0,2020-02-01,Multnomah,815428.0,2.943239623853976e-05
25,2020-02-22,Boston,MA,"Boston, MA",Boston Police headquarters,Suffolk,"in support of police, for President Trump, for patriotism, for law and order, against leftist violence",2.0,executive; legislative; policing,20.0,40.0,30.0,1,42.360082,-71.05888,Boston,Suffolk,MA,25025.0,2020-02-01,Suffolk,797936.0,3.759700026067253e-05
29,2020-02-25,Tampa,FL,"Tampa, FL",library on USF Tampa campus,Hillsborough,for increasing Black student enrollment at University of South Florida,2.0,education; racism,2.0,3.0,2.0,1,27.950575,-82.457178,Tampa,Hillsborough,FL,12057.0,2020-02-01,Hillsborough,1459762.0,1.3700863565430528e-06
46,2020-03-06,Newburgh,NY,"Newburgh, NY",corner of Liberty Street and Broadway,Orange,pro-police,2.0,policing,100.0,100.0,100.0,2,41.503427,-74.010418,Newburgh,Orange,NY,36071.0,2020-03-01,Orange,401310.0,0.0002491839226533104
47,2020-03-07,Chapel Hill,NC,"Chapel Hill, NC",Peace and Justice Plaza,Orange,"against removal of Confederate statue on University of North Carolina campus, against communism",2.0,democracy; education; racism,1.0,1.0,1.0,1,35.9132,-79.055845,Chapel Hill,Orange,NC,37135.0,2020-03-01,Orange,148696.0,6.72513046753107e-06
57,2020-05-02,Santee,CA,"Santee, CA",Vons shopping center,San Diego,pro KKK; anti stay-at-home orders during coronavirus pandemic,2.0,covid; housing; racism,1.0,1.0,1.0,1,32.838383,-116.973917,Santee,San Diego,CA,6073.0,2020-05-01,San Diego,3298634.0,3.0315579115476287e-07
66,2020-05-16,Lisbon,OH,"Lisbon, OH",Lisbon Square,Columbiana,"against arrest of protester at Free Ohio Now event on May 9, against local law enforcement, for First Amendment rights, for President Trump, for Confederate heritage",2.0,civil rights; executive; policing; racism,3.0,3.0,3.0,1,40.772004,-80.768134,Lisbon,Columbiana,OH,39029.0,2020-05-01,Columbiana,101877.0,2.9447274654730706e-05
137,2020-05-29,Tucson,AZ,"Tucson, AZ",Ronstadt Transit Center,Pima,White Lives Matter,2.0,racism,1.0,1.0,1.0,1,32.222607,-110.974711,Tucson,Pima,AZ,4019.0,2020-05-01,Pima,1043433.0,9.583749028447443e-07
139,2020-05-29,Bakersfield,CA,"Bakersfield, CA",Truxtun Ave,Kern,against anti-racism protesters,2.0,racism,1.0,1.0,1.0,1,35.373292,-119.018713,Bakersfield,Kern,CA,6029.0,2020-05-01,Kern,909235.0,1.0998256776300956e-06
172,2020-05-29,Des Moines,IA,"Des Moines, IA",Intersection of E. 1st and E. Court strees,Des Moines,against anti-racism protesters,2.0,racism,1.0,1.0,1.0,1,41.586835,-93.624959,Des Moines,Polk,IA,19153.0,2020-05-01,Polk,492401.0,2.0308650876013654e-06
290,2020-05-30,Encinitas,CA,"Encinitas, CA",Magic Carpet Ride sculpture,San Diego,against anti-racism protesters,2.0,racism,1.0,1.0,1.0,1,33.036987,-117.291982,Encinitas,San Diego,CA,6073.0,2020-05-01,San Diego,3298634.0,3.0315579115476287e-07
